Session,RC,RT,MC,LT,JP,AD,Volume(%)
1,R,1.73822533196042,1,Y,R,80,90
1,R,1.31236112918069,3,W,R,0,50
1,R,1.45456725186085,2,Y,R,34,67
1,R,1.19130889136807,2,W,L,34,67
1,R,1.16991673835241,3,W,L,0,50
1,R,1.82908031199008,3,W,R,0,50
1,R,1.93726997583968,4,W,R,34,67
1,R,1.30486664946005,1,W,L,80,90
1,R,2.87671170725889,1,Y,R,80,90
1,R,2.20417897693727,5,Y,L,80,90
1,R,1.43676684845752,1,Y,R,80,90
1,R,0.852999669789767,4,W,R,34,67
1,R,1.42959777151674,5,Y,L,80,90
1,R,1.35683464521031,3,Y,R,0,50
1,R,1.33690635400757,1,W,R,80,10
1,R,1.06964040138422,2,Y,R,34,67
1,R,1.30391537965312,1,Y,L,80,10
1,R,1.0204237567466,4,Y,L,34,67
1,R,0.854332829655164,5,W,R,80,90
1,R,0.874698897266171,3,Y,L,0,50
1,R,1.38914416665193,5,Y,L,80,90
1,R,1.73573027685075,2,W,L,34,67
1,R,1.57152626523236,2,W,R,34,33
1,R,0.903096674672042,3,Y,L,0,50
1,R,1.33978720521077,1,Y,R,80,90
1,R,0.919569026102181,5,Y,L,80,90
1,R,1.20768028681118,1,Y,R,80,90
1,R,1.91232363124277,2,Y,R,34,67
1,R,1.24115891463885,1,W,L,80,90
1,R,0.869622253343778,2,Y,R,34,67
1,R,1.22677208554933,2,Y,R,34,67
1,R,0.774901500308033,2,Y,R,34,67
1,R,0.935605704373756,2,W,L,34,67
1,R,0.7241795297914,3,W,R,0,50
1,R,0.827318690108086,1,Y,R,80,90
1,R,1.3200755487303,2,W,R,34,33
1,R,1.24646751696059,2,W,R,34,33
1,R,0.752180694390745,4,W,L,34,33
1,R,0.819586543167816,3,Y,R,0,50
1,R,0.672691976372562,3,Y,R,0,50
1,R,1.90952180213662,4,Y,R,34,33
1,R,0.638874124409767,3,W,R,0,50
1,R,1.22731292119465,2,W,R,34,33
1,R,1.20321118159677,2,W,R,34,33
1,R,1.15329235201307,3,Y,R,0,50
1,R,0.707432554039315,1,Y,R,80,90
