Session,RC,RT,MC,LT,JP,AD,Volume
1,R,0.578465186559697,5,Y,L,80,90
1,R,0.728395343645388,5,W,R,80,90
1,R,0.538768751597672,2,W,L,34,67
1,R,0.5626349272261,5,W,R,80,90
1,R,0.603440375723949,1,Y,R,80,90
1,R,0.720057761247517,3,Y,R,0,50
1,R,0.611091697781376,3,Y,R,0,50
1,R,0.573622604286356,4,Y,L,34,67
1,R,0.50605420435204,4,Y,L,34,67
1,R,0.547511059337921,2,Y,R,34,67
1,R,0.507245545091791,4,Y,L,34,67
1,R,0.702929796829267,1,Y,R,80,90
1,R,0.50267638528203,5,Y,L,80,90
1,R,0.623666727460659,2,Y,R,34,67
1,R,0.605400904938506,1,Y,R,80,90
1,R,0.636507968461956,1,W,L,80,90
1,R,0.560542794672074,2,Y,R,34,67
1,R,1.05973860211452,3,Y,R,0,50
1,R,0.605117867617082,3,Y,L,0,50
1,R,0.679207844039411,5,Y,L,80,90
1,R,0.6208168240737,2,Y,R,34,67
1,R,0.57634060386772,4,Y,L,34,67
1,R,0.537568096466202,2,Y,R,34,67
1,R,0.690897706046599,4,Y,L,34,67
1,R,0.545823051195839,4,W,R,34,67
1,R,0.50564316926102,1,W,L,80,90
1,R,0.476496935414616,2,Y,R,34,67
1,R,0.525347915063321,2,W,L,34,67
1,R,0.653035304849254,3,W,R,0,50
1,R,0.625606524641626,5,W,R,80,90
1,R,0.435922844388188,4,Y,L,34,67
1,R,0.46991857118519,4,Y,L,34,67
1,R,0.454833763647912,1,W,L,80,90
1,R,0.502860569866243,4,W,R,34,67
1,R,0.506519323007524,1,W,L,80,90
1,R,0.587851689644594,3,W,R,0,50
1,R,0.502877095399526,2,Y,R,34,67
1,R,0.844474597699445,3,Y,L,0,50
1,R,0.521294351901815,2,Y,R,34,67
1,R,0.836749962367321,4,Y,L,34,67
1,R,0.52751245950094,4,Y,L,34,67
1,R,0.452952556996024,2,W,L,34,67
1,R,0.569437137319255,2,Y,R,34,67
1,R,0.426078734253679,4,W,R,34,67
1,R,0.512883456229247,3,W,L,0,50
1,R,0.469741597742541,1,W,L,80,90
1,R,0.487570244786184,1,Y,R,80,90
1,R,0.453087465442877,5,Y,L,80,90
1,B,0.528236878801181,4,Y,L,34,67
1,B,0.623325400074464,3,Y,L,0,50
1,B,0.671325765439178,3,Y,L,0,50
1,B,0.653108317661463,3,Y,L,0,50
1,B,0.519272828447356,1,W,L,80,90
1,B,0.538637448720692,1,W,L,80,90
1,B,0.50352309353184,5,W,R,80,90
1,B,0.780192976168109,3,W,R,0,50
1,B,0.714267214272695,3,Y,L,0,50
1,B,0.526115000287973,4,W,R,34,67
1,B,0.623712698490635,5,W,R,80,90
1,B,0.695712345144784,3,W,L,0,50
1,B,0.652874856941708,4,W,R,34,67
1,B,0.66064125680532,5,W,R,80,90
1,B,0.556072487601341,5,W,R,80,90
1,B,0.536178449321596,2,Y,R,34,67
1,B,0.519372883041797,1,Y,R,80,90
1,B,0.644831729505313,2,Y,R,34,67
1,B,0.558588274741851,4,W,R,34,67
1,B,0.464221168127551,4,Y,L,34,67
1,B,0.520067556382855,4,Y,L,34,67
1,B,0.706144163346835,3,Y,L,0,50
1,B,0.509168516275167,1,W,L,80,90
1,B,0.545417724926665,5,Y,L,80,90
1,B,0.586408559865959,2,Y,R,34,67
1,B,0.754033056475237,3,W,L,0,50
1,B,0.611476592483086,2,Y,R,34,67
1,B,0.687672823280082,3,W,R,0,50
1,B,0.619139632646693,1,Y,R,80,90
1,B,0.577849535317,2,Y,R,34,67
1,B,0.586739371001386,3,W,L,0,50
1,B,0.736977503940579,3,W,L,0,50
1,B,0.646609275992887,3,Y,L,0,50
1,B,0.540140370887457,2,W,L,34,67
1,B,0.460552499667756,1,W,L,80,90
1,B,0.521095144107676,2,Y,R,34,67
1,B,0.502990069955558,1,W,L,80,90
1,B,0.452694157742371,2,W,L,34,67
1,B,0.535929965388277,4,W,R,34,67
1,B,0.420410175762299,2,W,L,34,67
1,B,0.502532162443458,4,W,R,34,67
